,id_x,datetime,longitude,latitude,count_death
118,893,2015-10-27 06:50:00+00:00,37.0,55.0,1
119,909,2017-05-18 10:45:00+00:00,37.3197,55.5997,1
120,912,2017-08-20 09:00:00+00:00,37.7839,55.2247,1
155,942,2016-08-06 18:05:00+00:00,37.2016,55.3616,1
154,960,2018-01-11 20:05:00+00:00,37.2928,55.6247,1
128,961,2018-01-08 22:30:00+00:00,37.388696,55.61818,1
130,972,2017-06-14 21:50:00+00:00,37.2583,55.5833,1
153,1067,2018-05-03 21:20:00+00:00,37.356612,55.59928,1
144,1081,2016-05-06 22:55:00+00:00,37.333666,55.60359,2
145,1103,2015-01-01 14:20:00+00:00,37.3525,55.608056,1
151,1129,2018-03-12 12:25:00+00:00,37.4272,55.6297,1
150,1131,2018-03-09 07:05:00+00:00,37.295374,55.59377,1
152,1139,2016-07-16 15:00:00+00:00,37.306261,55.596315,1
1,1150,2015-09-29 09:00:00+00:00,37.439167,55.625556,1
32,1160,2015-03-14 14:30:00+00:00,37.447764,55.615573,1
28,1162,2015-04-27 19:30:00+00:00,37.447778,55.625556,2
26,1163,2015-04-25 23:20:00+00:00,37.464167,55.603889,1
132,1167,2016-11-11 23:35:00+00:00,37.8522,55.8025,1
129,1180,2018-06-17 18:00:00+00:00,37.518463,55.484555,1
99,1189,2015-12-22 05:10:00+00:00,37.5192,55.4844,1
127,1190,2016-02-27 16:35:00+00:00,37.8833,55.8353,2
126,1193,2017-02-07 06:30:00+00:00,37.535829,55.474204,1
108,1200,2015-02-08 02:05:00+00:00,37.5236,55.44,1
125,1211,2016-03-10 06:10:00+00:00,37.2948,55.275,1
133,1222,2016-11-23 05:00:00+00:00,37.4522,55.6097,1
134,1225,2016-11-14 12:10:00+00:00,37.2914,55.335,1
188,1227,2016-11-09 17:25:00+00:00,37.434304,55.557835,1
137,1243,2015-09-05 02:40:00+00:00,37.463611,55.578333,1
139,1245,2017-12-30 13:55:00+00:00,33.7863,55.457,2
147,1269,2016-04-29 11:20:00+00:00,37.4669,55.5806,1
148,1273,2016-04-21 20:00:00+00:00,37.8019,55.9017,1
157,1290,2017-08-31 14:30:00+00:00,37.7522,55.1164,1
158,1330,2018-01-19 08:30:00+00:00,37.4614,55.5983,1
102,1331,2018-01-08 16:50:00+00:00,37.470091,55.583404,1
159,1342,2017-07-01 22:10:00+00:00,37.487667,55.607028,2
140,1367,2015-12-01 17:40:00+00:00,37.479444,55.567778,1
165,1372,2016-02-04 12:58:00+00:00,37.4406,55.5625,1
187,1382,2018-04-19 06:00:00+00:00,37.7394,55.9347,1
166,1384,2018-04-10 10:40:00+00:00,37.4383,55.5544,1
167,1390,2015-08-18 22:10:00+00:00,37.485278,55.604167,1
168,1391,2015-08-18 03:15:00+00:00,0.0,0.0,1
171,1419,2015-02-20 16:30:00+00:00,37.439167,55.626667,1
174,1452,2017-11-27 05:25:00+00:00,37.7944,55.9581,1
176,1462,2016-05-27 11:10:00+00:00,37.2531,55.4253,1
181,1469,2015-07-30 20:15:00+00:00,37.486389,55.548333,2
199,1503,2015-06-06 11:35:00+00:00,37.329923,55.557368,1
191,1504,2015-10-28 04:30:00+00:00,37.356667,55.573056,1
198,1543,2018-03-28 04:35:00+00:00,37.3397,55.6206,1
200,1549,2017-01-20 03:15:00+00:00,37.577427,55.495741,1
201,1552,2015-09-20 18:20:00+00:00,37.572504,55.505424,1
206,1558,2015-09-02 10:35:00+00:00,37.5689,55.5083,1
173,1575,2016-04-16 21:05:00+00:00,37.581476,55.494668,2
172,1579,2017-05-06 22:00:00+00:00,37.565255,55.5,1
170,1585,2017-08-19 14:10:00+00:00,37.568237,55.491518,1
169,1596,2016-08-18 04:40:00+00:00,37.568533,55.494119,1
117,1615,2015-12-22 15:55:00+00:00,37.5725,55.5056,1
122,1622,2017-02-23 03:35:00+00:00,37.570968,55.500009,1
164,1630,2016-10-31 16:40:00+00:00,37.5639,55.5081,1
163,1631,2016-10-07 03:20:00+00:00,37.572504,55.505424,1
162,1633,2016-12-29 17:30:00+00:00,37.571507,55.498128,1
161,1639,2015-02-22 19:52:00+00:00,37.52775,55.513183,1
143,1644,2016-09-05 01:30:00+00:00,37.5931,55.4897,1
175,1692,2017-12-13 19:00:00+00:00,37.102,55.2027,1
177,1698,2016-04-26 16:47:00+00:00,37.2856,55.5689,1
178,1700,2016-04-01 17:00:00+00:00,37.2897,55.5525,1
226,1701,2017-04-30 21:55:00+00:00,37.2369,55.342378,1
230,1704,2017-08-07 11:30:00+00:00,37.0625,55.5267,1
182,1708,2018-06-23 07:10:00+00:00,37.148852,55.279372,1
186,1719,2017-07-04 16:00:00+00:00,37.173299,55.343197,1
190,1725,2016-02-15 17:50:00+00:00,37.1514,55.3275,1
194,1726,2016-02-08 18:00:00+00:00,37.1611,55.3231,1
193,1727,2016-02-04 13:33:00+00:00,37.1817,55.2919,1
196,1736,2016-10-21 21:30:00+00:00,37.184624,55.353223,2
214,1757,2016-05-27 19:20:00+00:00,37.0,55.0,1
229,1760,2016-05-02 23:10:00+00:00,37.206996,55.30107,1
215,1762,2015-07-29 18:15:00+00:00,37.156389,55.32,1
218,1764,2015-07-18 12:40:00+00:00,37.190278,55.295278,1
217,1765,2015-07-10 19:45:00+00:00,37.197222,55.297778,1
221,1770,2015-04-18 11:45:00+00:00,37.148889,55.364167,1
149,1771,2015-04-11 10:20:00+00:00,37.163056,55.338056,1
222,1774,2016-01-30 08:00:00+00:00,37.1753,55.2539,1
192,1779,2016-03-20 09:40:00+00:00,37.2058,55.3736,1
225,1787,2016-07-29 00:50:00+00:00,37.2019,55.4533,1
227,1790,2015-11-17 16:50:00+00:00,37.222778,55.385,2
228,1792,2015-11-04 14:00:00+00:00,37.193056,55.358611,1
13,1797,2017-01-19 18:00:00+00:00,36.1522,55.785,1
142,1803,2015-10-06 21:50:00+00:00,36.89,55.446944,1
45,1811,2015-05-15 11:15:00+00:00,36.895556,55.45,1
141,1814,2018-06-16 23:00:00+00:00,37.529297,55.72711,2
50,1817,2018-01-15 03:20:00+00:00,36.908803,55.457952,1
36,1819,2017-07-23 09:50:00+00:00,36.6967,55.6953,1
136,1827,2018-04-07 02:00:00+00:00,37.897,55.548,1
135,1828,2015-08-04 21:20:00+00:00,36.846207,55.431856,1
105,1834,2016-12-28 04:00:00+00:00,36.8437,55.419993,1
104,1835,2017-09-27 05:45:00+00:00,37.20757,55.576345,2
106,1841,2016-09-11 23:18:00+00:00,36.883164,55.442414,1
111,1844,2017-11-14 13:20:00+00:00,36.435,55.7092,1
116,1851,2015-01-10 06:10:00+00:00,36.877778,55.439722,1
115,1852,2015-01-09 10:30:00+00:00,37.285278,55.613333,1
124,1867,2015-11-30 18:30:00+00:00,36.874444,55.437778,1
123,1868,2015-11-04 16:50:00+00:00,36.875278,55.438611,1
146,1873,2017-12-23 06:00:00+00:00,37.785,55.458,1
220,1874,2017-12-23 02:00:00+00:00,37.0,55.0,1
219,1875,2015-06-24 23:10:00+00:00,37.3425,55.346667,1
216,1878,2015-10-12 16:45:00+00:00,37.361389,55.385833,1
213,1890,2015-05-16 14:00:00+00:00,37.373056,55.341667,4
212,1892,2018-06-20 23:30:00+00:00,37.379791,55.28016,2
160,1894,2016-08-19 06:30:00+00:00,37.3767,55.3664,1
211,1896,2017-04-25 07:30:00+00:00,37.4975,55.565,1
210,1905,2015-12-02 04:20:00+00:00,37.313333,55.341944,1
180,1907,2017-02-01 12:00:00+00:00,37.4119,55.5328,8
209,1911,2016-10-26 16:50:00+00:00,37.435,55.5456,1
183,1913,2016-10-10 16:20:00+00:00,37.5653,55.5856,1
185,1915,2016-10-02 19:50:00+00:00,37.316471,55.343468,1
208,1917,2016-12-10 15:20:00+00:00,37.5853,55.5858,1
189,1919,2016-09-28 21:45:00+00:00,37.2617,55.3225,1
207,1921,2016-05-01 21:35:00+00:00,37.260707,55.322086,1
205,1927,2016-01-17 07:30:00+00:00,37.3336,55.3503,1
204,1929,2016-03-30 09:30:00+00:00,37.139102,55.275647,1
197,1931,2016-06-06 09:50:00+00:00,37.397222,55.424857,1
203,1935,2015-11-21 15:40:00+00:00,37.0,55.0,2
202,1936,2015-11-18 22:50:00+00:00,0.0,0.0,3
223,1945,2015-10-21 19:43:00+00:00,37.276111,55.429722,1
224,1948,2015-10-06 02:40:00+00:00,37.265,55.413889,1
138,1954,2015-05-27 03:00:00+00:00,37.238056,55.398056,1
231,1962,2018-06-02 15:35:00+00:00,38.182316,55.506714,1
248,1967,2018-01-13 10:30:00+00:00,37.758,55.698,1
235,1970,2015-12-02 18:35:00+00:00,37.293333,55.454167,1
234,1971,2016-02-20 04:10:00+00:00,37.276378,55.429748,1
247,1974,2017-02-20 17:10:00+00:00,37.4281,55.6839,1
246,1976,2018-02-18 04:10:00+00:00,37.3875,55.7214,1
121,1979,2015-08-26 16:00:00+00:00,37.262222,55.417222,1
238,1991,2017-09-18 07:50:00+00:00,37.478,54.547,1
245,1994,2016-09-20 19:30:00+00:00,37.4228,55.6689,1
131,1995,2016-09-19 16:51:00+00:00,37.124,55.187,1
241,2003,2016-05-14 13:00:00+00:00,37.2908,55.4503,1
244,2008,2015-04-11 08:48:00+00:00,37.265833,55.420556,2
243,2017,2016-01-02 14:30:00+00:00,37.3239,55.4314,1
250,2045,2018-01-14 07:25:00+00:00,37.1511,55.4381,1
251,2047,2017-03-28 14:00:00+00:00,37.201163,55.408269,1
252,2052,2015-08-06 17:07:00+00:00,37.1294,55.4164,1
253,2057,2015-03-26 21:10:00+00:00,37.163056,55.413056,1
255,2060,2017-11-30 03:45:00+00:00,37.946,55.2555,1
254,2061,2015-07-30 00:40:00+00:00,37.373333,55.39,2
256,2066,2015-01-17 18:35:00+00:00,37.162778,55.431944,1
257,2072,2016-07-14 15:00:00+00:00,37.1781,55.41,1
258,2093,2015-05-14 08:45:00+00:00,36.5742,55.2542,1
267,2110,2017-03-26 01:10:00+00:00,36.1561,55.7619,1
259,2117,2018-04-14 20:15:00+00:00,37.638,55.123,4
261,2118,2015-08-10 14:45:00+00:00,36.9344,55.4647,2
260,2120,2016-10-31 16:30:00+00:00,36.888988,55.446501,3
264,2125,2016-12-20 08:46:00+00:00,36.5621,55.284,1
263,2127,2015-02-18 15:00:00+00:00,36.893056,55.448611,1
262,2130,2015-02-03 17:45:00+00:00,36.93,55.470833,1
265,2133,2015-03-09 17:50:00+00:00,36.911111,55.459167,1
266,2137,2016-05-26 19:00:00+00:00,37.9494,55.4453,1
0,2152,2016-11-24 23:50:00+00:00,37.2836,55.5025,1
6,2153,2016-11-23 03:55:00+00:00,37.2114,55.5342,1
4,2154,2017-01-30 06:40:00+00:00,37.241636,55.512026,1
249,2163,2015-10-16 17:15:00+00:00,37.259167,55.505833,1
57,2178,2017-04-15 06:30:00+00:00,37.2406,55.5147,1
56,2179,2017-04-14 08:00:00+00:00,37.212306,55.534198,1
242,2183,2017-10-02 23:40:00+00:00,37.2397,55.5125,1
240,2186,2017-07-08 05:50:00+00:00,37.2511,55.5089,1
239,2189,2017-07-01 19:50:00+00:00,37.785,55.124,1
237,2199,2015-12-26 16:00:00+00:00,37.1572,50.5528,1
236,2206,2017-02-08 04:30:00+00:00,37.4025,55.8358,1
233,2210,2016-10-28 15:00:00+00:00,37.260683,55.505645,1
232,2211,2016-10-27 04:45:00+00:00,37.1556,55.5439,1
179,2229,2015-07-26 21:15:00+00:00,37.141389,55.571667,1
184,2232,2015-07-11 04:50:00+00:00,37.2283,55.5125,1
195,2241,2018-03-22 22:30:00+00:00,37.1514,55.5572,1
