"id","datetime","address","longitude","latitude","type_id","geo_updated","created_at"
23,"2017-12-23 16:36:00+03","","37.204488","55.71145",2,False,"2018-07-14 00:04:57.899985+03"
24,"2017-12-23 13:35:00+03","г Москва, М-9 Балтия Москва - Волоколамск - граница с Латвийской Республикой","37.319102","55.802178",2,True,"2018-07-14 00:04:57.903232+03"
25,"2017-12-18 19:20:00+03","","37.18232","55.71937",2,False,"2018-07-14 00:04:57.906104+03"
812,"2016-10-14 02:40:00+03","","37.1528","55.5653",2,False,"2018-07-14 00:06:58.237184+03"
1310,"2016-08-20 22:00:00+03","","37.480311","55.576222",1,False,"2018-07-14 00:09:11.329945+03"
716,"2017-05-20 11:30:00+03","","37.191261","55.604283",1,False,"2018-07-14 00:06:33.500622+03"
425,"2016-07-18 20:00:00+03","г Москва, М-10 Россия Москва - Тверь - Великий Новгород - Санкт-Петербург (основное направление)","37.407188","55.981241",3,True,"2018-07-14 00:04:57.911541+03"
27,"2017-12-16 21:20:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.224779","55.734639",1,True,"2018-07-14 00:04:57.914821+03"
28,"2017-12-13 22:45:00+03","г Москва, М-9 Балтия Москва - Волоколамск - граница с Латвийской Республикой","37.3451","55.7976",4,True,"2018-07-14 00:04:57.917949+03"
1796,"2017-01-24 08:40:00+03","","36.8753","55.4383",2,False,"2018-07-14 00:11:21.694466+03"
426,"2016-07-17 23:00:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.268158","55.739025",1,True,"2018-07-14 00:04:57.924766+03"
578,"2017-12-25 19:10:00+03","д Ватутинки, А-130 Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление)","37.351305","55.509365",1,True,"2018-07-14 00:06:10.288806+03"
30,"2017-12-09 20:00:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.154384","55.724487",2,True,"2018-07-14 00:04:57.933272+03"
96,"2018-06-29 14:00:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.180223","55.72131",7,True,"2018-07-14 00:04:57.937827+03"
577,"2017-12-31 16:55:00+03","","37.375064","55.533203",2,False,"2018-07-14 00:06:10.29096+03"
